#Frame     RMSD_00002
 8274644       3.4887
 4532865       3.4889
 7940695       3.4895
 9457135       3.4901
 8274684       3.4903
 7940761       3.4911
 9457174       3.4917
 4318943       3.4935
 9458715       3.4954
 4415416       3.4964
 9458768       3.4970
 4318969       3.4998
 3617918       3.5000
 9457748       3.5018
 9457789       3.5034
 4532470       3.5038
 9454526       3.5040
 9454605       3.5056
 9497519       3.5060
 9459994       3.5074
 9497536       3.5076
 4318996       3.5083
 7941302       3.5085
 9460048       3.5090
 9497517       3.5097
 9497535       3.5113
 7664947       3.5118
 4532480       3.5123
 7664987       3.5203
 4931876       3.5235
 7664934       3.5236
 9455763       3.5244
 9455782       3.5260
 4860769       3.5262
 4931561       3.5292
 7940661       3.5293
 8724543       3.5298
 9454206       3.5310
 4931885       3.5320
 7664974       3.5321
 9454286       3.5326
 7549975       3.5330
 9456791       3.5333
 4860822       3.5347
 9456800       3.5349
 9454685       3.5356
 4932089       3.5357
 8915404       3.5366
 9454727       3.5372
 9456364       3.5373
 4931566       3.5377
 7529719       3.5382
 8915190       3.5390
 8915199       3.5405
 4931663       3.5413
 7550055       3.5415
 4853065       3.5434
 4932098       3.5442
 7930645       3.5444
 7528830       3.5445
 7927776       3.5446
 7930804       3.5460
 7928665       3.5462
 7529798       3.5466
 7931764       3.5485
 8915616       3.5486
 4931673       3.5497
 7530878       3.5500
 7931924       3.5501
 8915626       3.5502
 4916112       3.5503
 7648147       3.5508
 4860449       3.5512
 4853119       3.5518
 8930398       3.5519
 7528839       3.5530
 4501181       3.5533
 8724516       3.5540
 4918352       3.5551
 4500862       3.5552
 4417096       3.5557
 7686607       3.5576
 7530958       3.5585
 7648187       3.5592
 4860503       3.5596
 7593366       3.5603
 9455326       3.5608
 4917232       3.5611
 4500881       3.5614
 4417122       3.5618
 7648134       3.5624
 7534278       3.5655
 8724650       3.5657
 4919473       3.5664
 7499236       3.5666
 4500962       3.5698
 4417149       3.5702
 7648174       3.5708
 4481981       3.5712
 7506234       3.5717
 7588647       3.5721
 4481663       3.5731
 7534331       3.5739
 8929703       3.5744
 7929258       3.5746
 4491262       3.5750
 7686168       3.5754
 8929757       3.5760
 7929338       3.5762
 7686394       3.5773
 4894375       3.5776
 7498235       3.5780
 4859329       3.5784
 4481682       3.5792
 4482062       3.5796
 7507035       3.5801
 7588806       3.5805
 4416749       3.5810
 4491281       3.5811
 4491663       3.5815
 4857410       3.5819
 4898855       3.5824
 7509383       3.5835
 7930564       3.5837
 7927332       3.5839
 4894428       3.5859
 8930983       3.5861
 7498136       3.5864
 4859410       3.5868
 4416776       3.5871
 4481762       3.5876
 7931684       3.5877
 8023112       3.5882
 4896615       3.5883
 4491362       3.5895
 4857489       3.5902
 4898907       3.5907
 4472381       3.5909
 9534247       3.5911
 7509463       3.5918
 9450686       3.5924
 9536247       3.5926
 4472062       3.5927
 4397453       3.5939
 9450740       3.5940
 9536487       3.5941
 7685136       3.5951
 4416802       3.5954
 4896668       3.5966
 7532412       3.5985
 4472081       3.5989
 4472462       3.5992
 4397493       3.6000
 4856449       3.6024
 8023122       3.6059
 4472162       3.6072
 4397533       3.6083
 3848334       3.6102
 4856529       3.6107
 7929231       3.6136
 3852535       3.6160
 4572857       3.6162
 3848413       3.6184
 9538487       3.6189
 4396939       3.6192
 9505963       3.6194
 7588687       3.6195
 9534887       3.6204
 9505961       3.6209
 9534926       3.6219
 9505998       3.6225
 9537126       3.6234
 7684875       3.6240
 3852574       3.6243
 7937816       3.6247
 9537166       3.6249
 4396980       3.6252
 3853934       3.6262
 8724863       3.6267
 4572910       3.6270
 7588846       3.6278
 7938776       3.6280
 7938896       3.6296
 3856734       3.6328
 4397017       3.6335
 3854015       3.6345
 7651508       3.6367
 8932264       3.6375
 8932316       3.6391
 4572804       3.6398
 3856774       3.6411
 9451873       3.6435
 7651562       3.6449
 9451953       3.6450
 8932903       3.6467
 9435215       3.6480
 7651495       3.6481
 8932957       3.6482
 9435748       3.6495
 4462782       3.6500
 9539405       3.6510
 8724756       3.6515
 4462462       3.6518
 7528270       3.6521
 4079341       3.6530
 9453046       3.6545
 9453126       3.6560
 7651547       3.6563
 7939735       3.6570
 4079580       3.6577
 4462481       3.6578
 8898080       3.6580
 4462862       3.6582
 7939855       3.6585
 8274367       3.6597
 7528284       3.6603
 9443639       3.6612
 8931624       3.6617
 7642387       3.6622
 9447158       3.6626
 9443746       3.6628
 7937777       3.6631
 8931677       3.6632
 3623871       3.6635
 4913074       3.6636
 7528470       3.6637
 9447264       3.6642
 7653427       3.6659
 4462563       3.6660
 7938735       3.6664
 8272182       3.6665
 4444783       3.6666
 8272175       3.6680
 4444774       3.6684
 4078752       3.6687
 8274430       3.6688
 9462479       3.6699
 8274439       3.6703
 7642440       3.6704
 4453181       3.6706
 7929897       3.6714
 3623873       3.6717
 7528487       3.6719
 4452862       3.6724
 4902819       3.6727
 7929950       3.6729
 7642374       3.6735
 9452286       3.6739
 7653480       3.6741
 4444823       3.6744
 4444863       3.6748
 9452300       3.6754
 9429648       3.6761
 7985088       3.6766
 7653413       3.6772
 4901874       3.6774
 8272217       3.6775
 9429755       3.6776
 4452881       3.6784
 4453262       3.6788
 8272226       3.6790
 7630867       3.6796
 9463119       3.6804
 4902872       3.6808
 7636627       3.6814
 7642427       3.6817
 9463190       3.6819
 7983167       3.6823
 4444903       3.6825
 4901865       3.6831
 3847001       3.6832
 4079260       3.6840
 4863698       3.6848
 7653467       3.6854
 3828601       3.6855
 3827801       3.6861
 9453472       3.6863
 7946338       3.6864
 4452962       3.6865
 4448882       3.6874
 7987008       3.6875
 7630921       3.6877
 4901094       3.6882
 9464257       3.6891
 4445884       3.6892
 7636680       3.6896
 7923002       3.6898
 9464327       3.6906
 7630854       3.6908
 4903191       3.6912
 3847053       3.6913
 8898160       3.6926
 7636613       3.6927
 4863724       3.6930
 3828614       3.6936
 4398369       3.6940
 3827827       3.6942
 7939695       3.6951
 4444784       3.6952
 4449683       3.6955
 4901148       3.6964
 4878737       3.6973
 4880631       3.6974
 7625107       3.6987
 7630908       3.6989
 4879670       3.6996
 8898373       3.6997
 4398410       3.6999
 9462710       3.7000
 7636666       3.7008
 8724526       3.7015
 3825001       3.7025
 8895467       3.7029
 4444883       3.7033
 4893095       3.7035
 4880657       3.7054
 7625161       3.7068
 4879697       3.7077
 4398449       3.7080
 4881589       3.7083
 4863538       3.7087
 7929871       3.7093
 7625094       3.7099
 9463350       3.7105
 3825080       3.7106
 4572963       3.7108
 8896653       3.7111
 4893122       3.7116
 9463359       3.7120
 4239002       3.7127
 7978688       3.7131
 4893415       3.7139
 4881617       3.7164
 4863565       3.7168
 7625147       3.7179
 8896814       3.7181
 9464488       3.7191
 4893761       3.7197
 8894294       3.7203
 9464496       3.7206
 9503802       3.7209
 8927287       3.7211
 7921376       3.7218
 4893441       3.7220
 9504043       3.7224
 4894055       3.7225
 8927366       3.7226
 9461501       3.7236
 8724404       3.7241
 7926776       3.7248
 7592972       3.7249
 7543735       3.7251
 3791034       3.7268
 8894414       3.7273
 7922976       3.7276
 3789442       3.7277
 4318357       3.7286
 9451880       3.7287
 3790803       3.7296
 9451960       3.7302
 7926722       3.7305
 4894081       3.7306
 7543815       3.7331
 9531592       3.7344
 4318410       3.7345
 3791042       3.7349
 7926828       3.7356
 3789456       3.7357
 9531645       3.7359
 3790812       3.7377
 7684662       3.7380
 4239051       3.7384
 3790998       3.7393
 9453052       3.7395
 3789406       3.7402
 7943781       3.7403
 7592968       3.7405
 3871398       3.7410
 9456275       3.7414
 3824222       3.7420
 3790768       3.7421
 4318321       3.7425
 9456284       3.7429
 3808222       3.7433
 4239210       3.7437
 7941576       3.7452
 4320697       3.7456
 3875593       3.7467
 4324163       3.7475
 7593068       3.7485
 3871479       3.7490
 9497835       3.7495
 4241542       3.7498
 3824399       3.7500
 4239923       3.7502
 9504682       3.7507
 8014495       3.7509
 9497994       3.7510
 3808578       3.7513
 4320963       3.7515
 8014464       3.7517
 9504722       3.7521
 3706543       3.7527
 4324429       3.7533
 7684236       3.7543
 9458321       3.7544
 9462483       3.7545
 3875634       3.7547
 9458456       3.7559
 9462555       3.7560
 7620294       3.7561
 3876993       3.7565
 3707383       3.7573
 8842216       3.7578
 7684449       3.7582
 9452313       3.7584
 8842270       3.7593
 4321230       3.7595
 9452339       3.7599
 9457562       3.7604
 3706583       3.7607
 4324696       3.7613
 9457641       3.7618
 8021484       3.7622
 8898133       3.7625
 3707102       3.7629
 8171203       3.7632
 4078762       3.7633
 7943612       3.7639
 7620320       3.7640
 9531794       3.7641
 3818889       3.7644
 3877152       3.7645
 8171216       3.7647
 7940935       3.7648
 3707423       3.7652
 9459602       3.7655
 7935402       3.7659
 9463194       3.7662
 9459735       3.7670
 7620455       3.7671
 7935456       3.7674
 3707943       3.7679
 8851635       3.7681
 4079021       3.7682
 4887618       3.7684
 9453485       3.7691
 8851688       3.7696
 8274039       3.7701
 4318830       3.7702
 9453513       3.7706
 3707144       3.7708
 8274049       3.7716
 7653915       3.7722
 7936736       3.7723
 3819066       3.7724
 4873965       3.7732
 9464261       3.7733
 4078901       3.7741
 7684134       3.7746
 9464333       3.7748
 7620562       3.7750
 8733709       3.7752
 4867228       3.7756
 7930405       3.7757
 3707982       3.7759
 4941673       3.7761
 4887671       3.7763
 8854195       3.7766
 7936043       3.7767
 7930445       3.7771
 9457141       3.7776
 8854247       3.7781
 4319630       3.7782
 8274182       3.7785
 9457181       3.7790
 8171132       3.7791
 4889538       3.7792
 4079141       3.7793
 8274190       3.7799
 8039640       3.7801
 7654181       3.7802
 9533946       3.7803
 9498401       3.7805
 4942751       3.7806
 8274110       3.7807
 7941295       3.7809
 4873929       3.7812
 9454298       3.7814
 7965516       3.7816
 9534187       3.7818
 7937322       3.7819
 7594300       3.7822
 9458722       3.7824
 9455009       3.7829
 9536186       3.7831
 7655514       3.7832
 7937376       3.7834
 4867308       3.7836
 9434084       3.7838
 9458675       3.7839
 9462727       3.7840
 7607149       3.7841
 4875618       3.7844
 9536426       3.7846
 8021368       3.7850
 3788920       3.7852
 9458689       3.7854
 9462736       3.7855
 4942191       3.7862
 7971116       3.7865
 4889592       3.7871
 3823934       3.7872
 9457755       3.7883
 3793697       3.7895
 9456675       3.7897
 9457715       3.7898
 7594309       3.7901
 3706294       3.7908
